Kommunenummer	Stadnamn	Prioritet	Kommune	Fylke	Nynorsk	Bokmål	Engelsk
1915	Meløyvær	50	Bjarkøy	Troms	http://www.yr.no/stad/Noreg/Troms/Bjarkøy/Meløyvær/varsel.xml	http://www.yr.no/sted/Norge/Troms/Bjarkøy/Meløyvær/varsel.xml	http://www.yr.no/place/Norway/Troms/Bjarkøy/Meløyvær/varsel.xml
1915	Sandsøy	50	Bjarkøy	Troms	http://www.yr.no/stad/Noreg/Troms/Bjarkøy/Sandsøy/varsel.xml	http://www.yr.no/sted/Norge/Troms/Bjarkøy/Sandsøy/varsel.xml	http://www.yr.no/place/Norway/Troms/Bjarkøy/Sandsøy/varsel.xml
1917	Hamnvik	30	Ibestad	Troms	http://www.yr.no/stad/Noreg/Troms/Ibestad/Hamnvik/varsel.xml	http://www.yr.no/sted/Norge/Troms/Ibestad/Hamnvik/varsel.xml	http://www.yr.no/place/Norway/Troms/Ibestad/Hamnvik/varsel.xml
1917	Sørrollnes	60	Ibestad	Troms	http://www.yr.no/stad/Noreg/Troms/Ibestad/Sørrollnes/varsel.xml	http://www.yr.no/sted/Norge/Troms/Ibestad/Sørrollnes/varsel.xml	http://www.yr.no/place/Norway/Troms/Ibestad/Sørrollnes/varsel.xml
1917	Engenes	50	Ibestad	Troms	http://www.yr.no/stad/Noreg/Troms/Ibestad/Engenes/varsel.xml	http://www.yr.no/sted/Norge/Troms/Ibestad/Engenes/varsel.xml	http://www.yr.no/place/Norway/Troms/Ibestad/Engenes/varsel.xml
1917	Kråkrøhamn	50	Ibestad	Troms	http://www.yr.no/stad/Noreg/Troms/Ibestad/Kråkrøhamn/varsel.xml	http://www.yr.no/sted/Norge/Troms/Ibestad/Kråkrøhamn/varsel.xml	http://www.yr.no/place/Norway/Troms/Ibestad/Kråkrøhamn/varsel.xml
1917	Ånstad	50	Ibestad	Troms	http://www.yr.no/stad/Noreg/Troms/Ibestad/Ånstad/varsel.xml	http://www.yr.no/sted/Norge/Troms/Ibestad/Ånstad/varsel.xml	http://www.yr.no/place/Norway/Troms/Ibestad/Ånstad/varsel.xml
1919	Gratangen	30	Gratangen	Troms	http://www.yr.no/stad/Noreg/Troms/Gratangen/Gratangen/varsel.xml	http://www.yr.no/sted/Norge/Troms/Gratangen/Gratangen/varsel.xml	http://www.yr.no/place/Norway/Troms/Gratangen/Gratangen/varsel.xml
1919	Foldvik	60	Gratangen	Troms	http://www.yr.no/stad/Noreg/Troms/Gratangen/Foldvik/varsel.xml	http://www.yr.no/sted/Norge/Troms/Gratangen/Foldvik/varsel.xml	http://www.yr.no/place/Norway/Troms/Gratangen/Foldvik/varsel.xml
1919	Hilleshamn	60	Gratangen	Troms	http://www.yr.no/stad/Noreg/Troms/Gratangen/Hilleshamn/varsel.xml	http://www.yr.no/sted/Norge/Troms/Gratangen/Hilleshamn/varsel.xml	http://www.yr.no/place/Norway/Troms/Gratangen/Hilleshamn/varsel.xml
1919	Selnes	60	Gratangen	Troms	http://www.yr.no/stad/Noreg/Troms/Gratangen/Selnes/varsel.xml	http://www.yr.no/sted/Norge/Troms/Gratangen/Selnes/varsel.xml	http://www.yr.no/place/Norway/Troms/Gratangen/Selnes/varsel.xml
1919	Årstein	60	Gratangen	Troms	http://www.yr.no/stad/Noreg/Troms/Gratangen/Årstein/varsel.xml	http://www.yr.no/sted/Norge/Troms/Gratangen/Årstein/varsel.xml	http://www.yr.no/place/Norway/Troms/Gratangen/Årstein/varsel.xml
1920	Tennevoll	30	Lavangen	Troms	http://www.yr.no/stad/Noreg/Troms/Lavangen/Tennevoll/varsel.xml	http://www.yr.no/sted/Norge/Troms/Lavangen/Tennevoll/varsel.xml	http://www.yr.no/place/Norway/Troms/Lavangen/Tennevoll/varsel.xml
1920	Fossbakken	60	Lavangen	Troms	http://www.yr.no/stad/Noreg/Troms/Lavangen/Fossbakken/varsel.xml	http://www.yr.no/sted/Norge/Troms/Lavangen/Fossbakken/varsel.xml	http://www.yr.no/place/Norway/Troms/Lavangen/Fossbakken/varsel.xml
1920	Keiprød	60	Lavangen	Troms	http://www.yr.no/stad/Noreg/Troms/Lavangen/Keiprød/varsel.xml	http://www.yr.no/sted/Norge/Troms/Lavangen/Keiprød/varsel.xml	http://www.yr.no/place/Norway/Troms/Lavangen/Keiprød/varsel.xml
1920	Rød	60	Lavangen	Troms	http://www.yr.no/stad/Noreg/Troms/Lavangen/Rød/varsel.xml	http://www.yr.no/sted/Norge/Troms/Lavangen/Rød/varsel.xml	http://www.yr.no/place/Norway/Troms/Lavangen/Rød/varsel.xml
1920	Skjelnes	60	Lavangen	Troms	http://www.yr.no/stad/Noreg/Troms/Lavangen/Skjelnes/varsel.xml	http://www.yr.no/sted/Norge/Troms/Lavangen/Skjelnes/varsel.xml	http://www.yr.no/place/Norway/Troms/Lavangen/Skjelnes/varsel.xml
